method_name	method_name_f	error_message	num	pct	example_dataset
DPT	DPT	stats$g >= gmin is not TRUE	108	0.21428571428571427	linear_2
embeddr	embeddr	'tol' must be strictly positive and finite	4	0.007936507936507936	consecutive_bifurcating_10
embeddr	embeddr	smoothing parameter value too small	12	0.023809523809523808	linear_long_11
monocle with DDRTree	monocle with DDRTree	initial centers are not distinct	8	0.015873015873015872	cycle_10
monocle with DDRTree	monocle with DDRTree	Parametric dispersion fit failed. Try a local fit and/or a pooled estimation. (See '?estimateDispersions')	52	0.10317460317460317	bifurcating_10
monocle with ICA	monocle with ICA	Parametric dispersion fit failed. Try a local fit and/or a pooled estimation. (See '?estimateDispersions')	52	0.10317460317460317	bifurcating_10
monocle with ICA	monocle with ICA	vector size specified is too large	8	0.015873015873015872	cycle_10
Mpath	Mpath	Mpath only detected one landmark	16	0.031746031746031744	converging_9
Mpath	Mpath	no rows to aggregate	20	0.03968253968253968	bifurcating_loop_3
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 105 65 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_8
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 1214 222 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_5
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 171 263 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_4
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 231 213 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_6
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 3725 222 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	real/cell-cycle_leng
