method_name	error_message	n	example
Mpath	Mpath only detected one landmark	203	real/cell-cycle_leng
StemID2	replacement has length zero	104	real/stimulated-dendritic-cells-PAM_shalek
StemID2	NA values in the dissimilarity matrix not allowed.	60	synthetic/bifurcating_10
Monocle ICA	Parametric dispersion fit failed. Try a local fit and/or a pooled estimation. (See '?estimateDispersions')	44	synthetic/bifurcating_10
monocle with DDRTree	Parametric dispersion fit failed. Try a local fit and/or a pooled estimation. (See '?estimateDispersions')	44	synthetic/bifurcating_10
StemID	missing value where TRUE/FALSE needed	44	real/aging-hsc-old_kowalczyk
GPfates	"ynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPclust/collapsed_mixture.py"", line 42, in __init__
    self.phi, logphi, self.H = softmax_weave(self.phi_)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPclust/np_utilities.py"", line 27, in softmax_numpy
    max_x_i = X.max(1)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/numpy/core/_methods.py"", line 26, in _amax
    return umr_maximum(a, axis, None, out, keepdims)
ValueError: zero-size array to reduction operation maximum which has no identity"	38	real/cell-cycle_buettner
ouijaflow	"all(pg_check$sum >= 0 & pg_check$sum < (1 + 1e-08)) isn't true.
Sum of milestone percentages per cell_id should be exactly one"	35	real/cell-cycle_buettner
StemID2	Perplexity is too large.	28	real/distal-lung-epithelium_treutlein
SLICE	replacement has 1 row, data has 0	27	real/cell-cycle_buettner
SCOUP	Time limit exceeded	24	real/blastocyst-monkey_nakamura
StemID	Number of clusters 'k' must be in {1,2, .., n-1}; hence n >= 2	17	synthetic/bifurcating_loop_8
Monocle ICA	evaluation nested too deeply: infinite recursion / options(expressions=)?	16	real/dentate-gyrus-neurogenesis_hochgerner
StemID2	object 'x' not found	16	real/cell-cycle_buettner
Wishbone	"ne/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 54, in wishbone
    RNK, bp, diffdists, Y = _splittobranches(traj, traj[0], data, iter_l, dist, paths_l2l)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 346, in _splittobranches
    Y = np.zeros((len(RNK)))
TypeError: object of type 'numpy.float64' has no len()"	13	real/macrophage-salmonella_saliba
Mpath	more cluster centers than distinct data points.	12	real/epidermis-hair-uHF_joost
sincell	Column `node` is unknown	12	real/cell-cycle_buettner
StemID2	missing value where TRUE/FALSE needed	12	synthetic/converging_10
GPfates	"es/venv/lib/python3.5/site-packages/GPy/core/sparse_gp.py"", line 80, in parameters_changed
    mean_function=self.mean_function)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/inference/latent_function_inference/var_dtc.py"", line 135, in inference
    LB = jitchol(B)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/util/linalg.py"", line 61, in jitchol
    raise linalg.LinAlgError(""not pd: non-positive diagonal elements"")
numpy.linalg.linalg.LinAlgError: not pd: non-positive diagonal elements"	11	synthetic/bifurcating_5
StemID	0 (non-NA) cases	9	synthetic/bifurcating_10
embeddr	smoothing parameter value too small	8	real/olfactory-projection-neurons-DA1_horns
Monocle ICA	vector size specified is too large	8	synthetic/consecutive_bifurcating_10
monocle with DDRTree	initial centers are not distinct	8	synthetic/consecutive_bifurcating_10
StemID2	0 (non-NA) cases	8	synthetic/bifurcating_loop_10
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 169 vs 2"	4	real/olfactory-projection-neurons-DC3_VA1d_horns
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 212 vs 2"	4	synthetic/converging_6
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 222 vs 2"	4	synthetic/converging_5
